date,open,close,high,low,volume
2023-01-12,4919.21,4914.2,4934.94,4899.32,525950272.0
2023-01-13,4928.87,4959.14,4959.14,4921.29,521288685.0
2023-01-16,4963.82,5023.43,5059.34,4963.82,664393189.0
2023-01-17,5026.47,5022.05,5035.69,5001.23,525454978.0
2023-01-18,5027.88,5025.95,5041.56,5018.86,500287007.0
2023-01-19,5020.05,5059.34,5059.34,5008.05,518657827.0
2023-01-20,5070.65,5096.78,5099.56,5070.65,585238593.0
2023-01-30,5179.76,5132.83,5184.52,5129.54,797443104.0
2023-01-31,5123.95,5112.41,5142.48,5104.06,706272579.0
2023-02-01,5124.43,5175.55,5175.55,5105.97,793486530.0
2023-02-02,5187.16,5172.52,5195.48,5156.15,780173068.0
2023-02-03,5156.07,5143.68,5156.07,5086.99,705490049.0
2023-02-06,5112.28,5100.22,5121.92,5075.28,660574701.0
2023-02-07,5109.8,5117.06,5120.09,5090.53,659713534.0
2023-02-08,5121.29,5089.44,5126.84,5086.25,628480854.0
2023-02-09,5078.96,5160.82,5160.82,5074.55,657037677.0
2023-02-10,5154.14,5139.43,5163.53,5115.69,678744092.0
2023-02-13,5135.08,5188.13,5188.72,5131.87,727147019.0
2023-02-14,5197.9,5192.17,5197.9,5169.26,685007294.0
2023-02-15,5193.69,5180.86,5199.72,5168.55,697008482.0
2023-02-16,5181.21,5109.81,5219.24,5076.95,937669666.0
2023-02-17,5105.45,5054.77,5128.86,5053.7,696470987.0
2023-02-20,5061.1,5152.0,5152.48,5046.55,729170389.0
2023-02-21,5152.67,5171.26,5180.97,5135.13,723398547.0
2023-02-22,5144.22,5149.38,5171.69,5138.4,596049071.0
2023-02-23,5150.39,5139.31,5170.24,5117.41,613364931.0
2023-02-24,5139.84,5105.6,5140.54,5083.26,530230460.0
2023-02-27,5085.88,5076.6,5110.2,5066.91,548771727.0
2023-02-28,5092.22,5115.27,5117.31,5060.16,565253297.0
2023-03-01,5114.89,5169.95,5173.48,5103.19,702136707.0
2023-03-02,5164.81,5154.21,5178.24,5149.1,723171208.0
2023-03-03,5158.85,5161.79,5167.34,5125.36,695857075.0
2023-03-06,5164.78,5154.66,5166.07,5124.55,693531741.0
2023-03-07,5149.84,5066.12,5157.9,5065.76,761145156.0
2023-03-08,5048.33,5071.47,5072.18,5042.22,541948289.0
2023-03-09,5076.27,5061.66,5079.35,5035.3,558827734.0
2023-03-10,5030.28,4993.51,5037.8,4992.6,600981996.0
2023-03-13,4984.29,5031.03,5031.23,4979.56,623200247.0
2023-03-14,5022.75,4989.8,5022.75,4938.33,682018776.0
2023-03-15,5016.13,5007.39,5034.43,5005.54,622929207.0
2023-03-16,4976.96,4937.71,4992.33,4932.98,649332581.0
2023-03-17,4971.12,4967.68,5010.92,4953.22,711509412.0
2023-03-20,4974.08,4948.42,4986.97,4943.26,794196610.0
2023-03-21,4956.91,5009.77,5009.83,4954.75,655354504.0
2023-03-22,5022.0,5034.08,5042.75,5014.73,696401927.0
2023-03-23,5019.48,5065.68,5065.68,5014.56,706335316.0
2023-03-24,5065.16,5060.34,5068.95,5042.37,764855730.0
2023-03-27,5058.06,5055.62,5061.15,5018.46,792581243.0
2023-03-28,5056.94,5027.03,5061.8,5021.58,706726187.0
2023-03-29,5036.45,5021.84,5041.24,5005.93,671672642.0
2023-03-30,5022.63,5040.63,5045.82,4984.81,655913895.0
2023-03-31,5045.14,5074.03,5076.73,5041.61,650281752.0
2023-04-03,5080.6,5128.98,5131.6,5080.6,815525175.0
2023-04-04,5127.77,5125.26,5127.79,5099.35,852615409.0
2023-04-06,5103.51,5123.78,5127.07,5096.49,743105918.0
2023-04-07,5125.51,5162.81,5163.09,5120.28,675399673.0
2023-04-10,5170.55,5121.36,5170.68,5110.69,767040090.0
2023-04-11,5122.54,5124.77,5132.16,5097.59,703010806.0
2023-04-12,5126.77,5139.65,5145.18,5119.98,756177333.0
2023-04-13,5126.69,5105.75,5138.78,5096.58,777911137.0
2023-04-14,5116.39,5131.82,5136.35,5097.51,736587146.0
2023-04-17,5127.25,5168.22,5168.22,5125.75,784028129.0
2023-04-18,5158.54,5167.22,5173.45,5147.88,706117573.0
2023-04-19,5162.74,5134.1,5164.18,5126.37,719457837.0
2023-04-20,5128.93,5123.43,5128.93,5098.8,736382000.0
2023-04-21,5121.67,5003.55,5121.67,5003.55,819630291.0
2023-04-24,5000.71,4959.07,5004.06,4939.66,741392130.0
2023-04-25,4956.83,4902.1,4960.49,4847.05,803348110.0
2023-04-26,4885.85,4915.13,4939.39,4877.2,761088229.0
2023-04-27,4899.93,4932.27,4954.42,4894.38,723853317.0
2023-04-28,4930.18,4998.81,5000.17,4930.18,819676228.0
2023-05-04,4981.82,5010.52,5010.77,4978.9,933799728.0
2023-05-05,5007.78,4976.58,5007.99,4954.87,842507624.0
2023-05-08,4985.38,5021.7,5025.23,4983.64,936782977.0
2023-05-09,5020.1,4965.36,5036.94,4963.9,1010742384.0
2023-05-10,4954.06,4951.69,4967.84,4927.28,802380964.0
2023-05-11,4960.57,4950.45,4973.05,4947.44,699768701.0
2023-05-12,4942.01,4888.84,4958.79,4888.24,679438589.0
2023-05-15,4890.02,4948.33,4948.33,4856.07,736939711.0
2023-05-16,4950.04,4913.2,4950.04,4900.34,642022140.0
2023-05-17,4902.14,4916.86,4930.45,4895.13,579688647.0
